time,open,high,low,close,volume
1757428560,4295.96,4295.96,4295.96,4295.96,0.0027
1757428620,4295.96,4295.96,4295.96,4295.96,0.0
1757428680,4294.96,4294.96,4294.73,4294.73,0.0354
1757428740,4294.73,4294.73,4294.73,4294.73,0.0
1757428800,4311.41,4311.41,4311.41,4311.41,0.0034
1757428860,4311.41,4311.41,4311.41,4311.41,0.0
1757428920,4311.41,4311.41,4311.41,4311.41,0.0
1757428980,4311.41,4311.41,4311.41,4311.41,0.0
1757429040,4311.41,4311.41,4311.41,4311.41,0.0
1757429100,4311.41,4311.41,4311.41,4311.41,0.0
1757429160,4311.41,4311.41,4311.41,4311.41,0.0
1757429220,4311.41,4311.41,4311.41,4311.41,0.0
1757429280,4311.41,4311.41,4311.41,4311.41,0.0
1757429340,4311.41,4311.41,4311.41,4311.41,0.0
1757429400,4296.17,4301.7,4296.17,4301.7,0.0291
1757429460,4301.7,4301.7,4301.7,4301.7,0.0
1757429520,4301.7,4301.7,4301.7,4301.7,0.0
1757429580,4298.4,4298.4,4298.4,4298.4,0.0731
1757429640,4298.4,4298.4,4298.4,4298.4,0.0
1757429700,4298.4,4298.4,4298.4,4298.4,0.0
1757429760,4298.4,4298.4,4298.4,4298.4,0.0
1757429820,4308.42,4308.42,4308.42,4308.42,0.008
1757429880,4308.42,4308.42,4308.42,4308.42,0.0
1757429940,4306.64,4306.64,4306.64,4306.64,0.0222
1757430000,4306.64,4306.64,4306.64,4306.64,0.0
1757430060,4309.37,4309.37,4309.37,4309.37,0.0046
1757430120,4309.37,4309.37,4309.37,4309.37,0.0
1757430180,4309.37,4309.37,4309.37,4309.37,0.0
1757430240,4300.01,4300.01,4300.01,4300.01,0.0513
1757430300,4300.01,4300.01,4300.01,4300.01,0.0
1757430360,4300.01,4300.01,4300.01,4300.01,0.0
1757430420,4300.01,4300.01,4300.01,4300.01,0.0
1757430480,4300.0,4300.0,4300.0,4300.0,2.1854
1757430540,4302.02,4302.02,4293.1,4293.1,0.0704
